Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Accuracy,0.9357633915783443
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Accuracy,0.9842452019478659
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Accuracy,0.9826697221426526
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Accuracy,0.9757232884560297
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Accuracy,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Accuracy,0.9357633915783443
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Accuracy,0.9842452019478659
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Accuracy,0.9826697221426526
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Accuracy,0.9757232884560297
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Accuracy,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Accuracy,0.9357633915783443
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Accuracy,0.9842452019478659
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Accuracy,0.9826697221426526
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9763678029217989
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9372672586651389
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9828129475794901
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9828129475794901
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Kappa,0.9514462880697917
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Kappa,0.8715214066368628
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Kappa,0.9684907497014443
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-Kappa,0.9653395331613525
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9527359781514619
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.8745405704733202
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.965625421302343
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9656258528508831
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6871.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6871.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-TP,6871.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-TP,6871.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TP,6781.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TP,6327.0
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TP,6923.0
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TP,6871.0
