Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.939988541965053
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9810226296190203
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9828129475794901
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Accuracy,0.9758665138928674
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Accuracy,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Accuracy,0.9368375823546262
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Accuracy,0.9822400458321398
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Accuracy,0.9827413348610713
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Accuracy,0.9758665138928674
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Accuracy,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Accuracy,0.9368375823546262
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Accuracy,0.9822400458321398
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Accuracy,0.9827413348610713
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Accuracy,0.9758665138928674
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Accuracy,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Accuracy,0.9368375823546262
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Accuracy,0.9822400458321398
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Accuracy,0.9827413348610713
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9771555428244056
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9391291893440274
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9813806932111143
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Accuracy,0.9829561730163277
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.9513031566811518
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.8728105808358576
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.963621153216672
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Kappa,0.9650531977230365
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.9513031566811518
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.8728105808358576
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.963621153216672
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Kappa,0.9650531977230365
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Kappa,0.9513031566811518
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Kappa,0.8728105808358576
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Kappa,0.963621153216672
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-Kappa,0.9650531977230365
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9540249233670772
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.8799823722732366
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9620447406929785
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9656257851577109
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Kappa,0.9517328594637655
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Kappa,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Kappa,0.8736700983820969
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Kappa,0.9644805033402915
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-Kappa,0.9654828325779673
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Kappa,0.9517328594637655
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Kappa,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Kappa,0.8736700983820969
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Kappa,0.9644805033402915
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-Kappa,0.9654828325779673
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Kappa,0.9517328594637655
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Kappa,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Kappa,0.8736700983820969
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Kappa,0.9644805033402915
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-Kappa,0.9654828325779673
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9543113611959215
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Kappa,1.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.8782638026903357
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.9627608914115209
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-Kappa,0.965912144645171
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6790.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6335.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6908.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-TP,6886.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6790.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6335.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6908.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-TP,6886.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TP,6790.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TP,6977.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TP,6335.0
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TP,6908.0
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-TP,6886.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6799.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6988.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6387.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6908.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TP,6878.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TP,6794.0
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TP,6977.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TP,6343.0
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TP,6912.0
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TP,6882.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TP,6794.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TP,6977.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TP,6343.0
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TP,6912.0
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TP,6882.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TP,6794.0
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TP,6977.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TP,6343.0
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TP,6912.0
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TP,6882.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TP,6801.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TP,6988.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TP,6379.0
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TP,6909.0
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TP,6890.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,153.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,246.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,185.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FP,153.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,153.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,246.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,185.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FP,153.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FP,153.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FP,246.0
KNN,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FP,185.0
SVM,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FP,153.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,132.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,237.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,185.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FP,130.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FP,154.0
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FP,248.0
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-FP,183.0
