Algorithm,Imputer,Imbalance,Metric,Score,Set,MainMetric
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,98.32,Train,Kappa
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.57,Train,Kappa
XGBoost,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
LogisticRegression,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,94.53,Train,Kappa
DecisionTree,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
NaiveBayes,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,86.96,Train,Kappa
KNN,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,95.26,Train,Kappa
SVM,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,95.85,Train,Kappa
RandomForest,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
GradientBoosting,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,95.93,Train,Kappa
Bagging,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,99.65,Train,Kappa
XGBoost,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,97.31,Train,Recall
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,90.41,Train,Recall
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,99.2,Train,Recall
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,98.74,Train,Recall
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,97.39,Train,Recall
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,99.79,Train,Recall
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,97.26,Train,Recall
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,90.07,Train,Recall
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,99.0,Train,Recall
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,98.81,Train,Recall
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,97.53,Train,Recall
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,99.8,Train,Recall
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,93.28,Train,Recall
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,88.04,Train,Recall
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,92.54,Train,Recall
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,93.41,Train,Recall
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,93.54,Train,Recall
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,98.87,Train,Recall
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.27,Train,Recall
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,88.33,Train,Recall
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,97.26,Train,Recall
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.91,Train,Recall
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.79,Train,Recall
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,97.41,Train,Recall
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,89.02,Train,Recall
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,96.02,Train,Recall
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,98.75,Train,Recall
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,98.53,Train,Recall
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,99.7,Train,Recall
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,97.19,Train,Recall
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,90.48,Train,Recall
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,99.18,Train,Recall
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,98.61,Train,Recall
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,97.46,Train,Recall
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,99.8,Train,Recall
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Recall,100.0,Train,Recall
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,97.41,Train,Recall
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,90.51,Train,Recall
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,98.94,Train,Recall
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,98.55,Train,Recall
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,97.53,Train,Recall
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,99.87,Train,Recall
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Recall,100.0,Train,Recall
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,93.19,Train,Recall
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,88.08,Train,Recall
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,92.1,Train,Recall
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,93.28,Train,Recall
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,93.54,Train,Recall
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,99.52,Train,Recall
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Recall,100.0,Train,Recall
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.32,Train,Recall
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,88.33,Train,Recall
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,97.73,Train,Recall
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.96,Train,Recall
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,99.91,Train,Recall
XGBoost,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Recall,100.0,Train,Recall
LogisticRegression,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,97.98,Train,Recall
DecisionTree,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
NaiveBayes,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,88.93,Train,Recall
KNN,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,97.64,Train,Recall
SVM,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,98.88,Train,Recall
RandomForest,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
GradientBoosting,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,98.67,Train,Recall
Bagging,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,99.87,Train,Recall
XGBoost,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Recall,100.0,Train,Recall
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,97.75,Train,Precision
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,96.23,Train,Precision
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,97.37,Train,Precision
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,97.86,Train,Precision
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,98.54,Train,Precision
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,99.91,Train,Precision
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,97.85,Train,Precision
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,96.48,Train,Precision
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,97.67,Train,Precision
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,98.11,Train,Precision
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,98.55,Train,Precision
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,99.9,Train,Precision
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,95.06,Train,Precision
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,88.7,Train,Precision
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,96.23,Train,Precision
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,95.75,Train,Precision
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,95.24,Train,Precision
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,99.78,Train,Precision
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,97.73,Train,Precision
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,96.86,Train,Precision
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.31,Train,Precision
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.03,Train,Precision
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.19,Train,Precision
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,99.87,Train,Precision
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,95.91,Train,Precision
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,96.04,Train,Precision
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,96.99,Train,Precision
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,96.41,Train,Precision
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,97.06,Train,Precision
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,99.87,Train,Precision
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,97.98,Train,Precision
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,96.22,Train,Precision
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,97.41,Train,Precision
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,98.05,Train,Precision
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,98.54,Train,Precision
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,99.87,Train,Precision
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Precision,100.0,Train,Precision
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,98.02,Train,Precision
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,96.44,Train,Precision
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,97.68,Train,Precision
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,98.12,Train,Precision
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,98.51,Train,Precision
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,99.97,Train,Precision
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Precision,100.0,Train,Precision
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,95.1,Train,Precision
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,88.74,Train,Precision
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,96.0,Train,Precision
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,95.7,Train,Precision
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,95.37,Train,Precision
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,99.78,Train,Precision
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Precision,100.0,Train,Precision
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,97.89,Train,Precision
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,97.36,Train,Precision
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.15,Train,Precision
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.07,Train,Precision
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,98.4,Train,Precision
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,99.66,Train,Precision
XGBoost,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Precision,100.0,Train,Precision
LogisticRegression,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,96.05,Train,Precision
DecisionTree,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
NaiveBayes,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,96.51,Train,Precision
KNN,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,97.14,Train,Precision
SVM,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,96.61,Train,Precision
RandomForest,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
GradientBoosting,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,96.88,Train,Precision
Bagging,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,99.74,Train,Precision
XGBoost,KNNImptuer__SimpleImputer_mode,AllKNN,Train-Precision,100.0,Train,Precision
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,97.54,Train,AUC
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,93.44,Train,AUC
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,98.26,Train,AUC
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,98.29,Train,AUC
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,97.97,Train,AUC
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,99.85,Train,AUC
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,97.56,Train,AUC
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,93.39,Train,AUC
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,98.32,Train,AUC
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,98.45,Train,AUC
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,98.05,Train,AUC
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,99.85,Train,AUC
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,95.85,Train,AUC
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,92.19,Train,AUC
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,95.68,Train,AUC
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,96.03,Train,AUC
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,96.01,Train,AUC
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,99.4,Train,AUC
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,98.46,Train,AUC
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,100.0,Train,AUC
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,92.71,Train,AUC
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,97.78,Train,AUC
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,98.94,Train,AUC
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,100.0,Train,AUC
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,98.96,Train,AUC
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,99.93,Train,AUC
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-AUC,100.0,Train,AUC
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,97.06,Train,AUC
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,100.0,Train,AUC
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,93.06,Train,AUC
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,96.83,Train,AUC
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,97.92,Train,AUC
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,100.0,Train,AUC
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,98.09,Train,AUC
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,99.8,Train,AUC
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-AUC,100.0,Train,AUC
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,97.59,Train,AUC
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,93.47,Train,AUC
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,98.27,Train,AUC
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,98.32,Train,AUC
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,98.01,Train,AUC
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,99.84,Train,AUC
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-AUC,100.0,Train,AUC
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,97.72,Train,AUC
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,93.59,Train,AUC
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,98.3,Train,AUC
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,98.33,Train,AUC
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,98.03,Train,AUC
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,99.92,Train,AUC
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-AUC,100.0,Train,AUC
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,95.81,Train,AUC
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,92.22,Train,AUC
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,95.42,Train,AUC
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,95.95,Train,AUC
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,96.03,Train,AUC
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,99.72,Train,AUC
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-AUC,100.0,Train,AUC
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,98.57,Train,AUC
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,100.0,Train,AUC
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,92.95,Train,AUC
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,97.93,Train,AUC
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,99.0,Train,AUC
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-AUC,100.0,Train,AUC
