Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Accuracy,97.59
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Accuracy,93.58
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Accuracy,98.25
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Accuracy,98.4
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Accuracy,97.59
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Accuracy,93.58
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Accuracy,98.25
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Accuracy,98.4
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Accuracy,97.59
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Accuracy,93.58
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Accuracy,98.25
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Accuracy,98.4
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.64
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Accuracy,93.78
KNN,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.17
SVM,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.32
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Kappa,94.99
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Kappa,87.3
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Kappa,96.51
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-Kappa,96.68
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Kappa,94.99
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Kappa,87.3
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Kappa,96.51
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-Kappa,96.68
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Kappa,94.99
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Kappa,87.3
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Kappa,96.51
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-Kappa,96.68
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.12
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Kappa,87.75
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.39
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.68
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Kappa,95.17
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Kappa,87.15
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Kappa,96.51
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-Kappa,96.81
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Kappa,95.17
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Kappa,87.15
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Kappa,96.51
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-Kappa,96.81
LogisticRegression,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Kappa,95.17
DecisionTree,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Kappa,87.15
KNN,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Kappa,96.51
SVM,KNNImptuer_SimpleImputer_mode,OriginalData,Train-Kappa,96.81
LogisticRegression,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.27
DecisionTree,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ClusterCentroids,Train-Kappa,87.57
