Algorithm,Imputer,Imbalance,Metric,Score
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,94.45
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,99.5
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.39
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,92.34
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.78
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.82
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.05
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.91
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,97.6
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,93.44
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.25
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.38
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,97.97
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,99.81
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.54
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,93.44
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.26
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.29
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.97
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,97.41
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,93.64
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.16
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.23
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.14
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,99.89
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.15
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,94.29
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.27
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.36
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.26
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,99.83
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.34
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,92.71
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.63
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.86
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.01
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.96
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.62
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,93.66
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.24
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.35
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.02
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.79
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.53
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,93.57
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.27
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.39
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.04
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,99.84
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.37
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,93.45
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.21
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.18
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.97
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,99.86
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.14
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,94.31
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.11
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.31
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
