Algorithm,Imbalance,ImputerCat,ImputerNum,Set,Metric,Score
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Kappa,95.25
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Recall,97.2
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,Precision,98.04
BaggingClassifier,SMOTE,SimpleImputer_mode,SimpleImputer_mean,Test,AUC,97.62
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,92.01
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,91.85
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,84.02
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,90.11
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,93.65
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Train,AUC,92.01
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,91.47
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,91.35
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,82.93
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,89.83
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,92.91
DecisionTreeClassifier,MWMOTE,SimpleImputer_mode,KNNImptuer,Test,AUC,91.47
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,99.95
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,99.95
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,99.9
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,99.97
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,99.93
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,AUC,99.95
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,98.08
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,98.09
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,96.16
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,98.34
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,97.84
RandomForestClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,AUC,98.08
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,Accuracy,93.5
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,F-1,93.31
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,Kappa,87.01
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,Recall,90.45
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,Precision,96.36
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Train,AUC,93.51
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,Accuracy,94.45
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,F-1,94.15
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,Kappa,88.88
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,Recall,91.79
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,Precision,96.64
GaussianNB,ADASYN,SimpleImputer_mode,KNNImptuer,Test,AUC,94.38
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Accuracy,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,F-1,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Kappa,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Recall,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,Precision,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Train,AUC,100.0
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Accuracy,98.14
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,F-1,98.15
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Kappa,96.28
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Recall,98.69
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,Precision,97.63
XGBClassifier,SMOTE,SimpleImputer_mode,KNNImptuer,Test,AUC,98.14
