Algorithm,Imputer,Imbalance,Metric,Score
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,98.68
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-F-1,99.65
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.55
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,94.7
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.77
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.51
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.75
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-F-1,99.75
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,97.55
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,94.7
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,97.77
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.51
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,98.75
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-F-1,99.9
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.8
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,94.62
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,97.9
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.7
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,98.67
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Accuracy,99.82
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,97.8
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,94.62
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,97.9
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.7
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,98.67
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Accuracy,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.8
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,94.62
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,97.9
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,98.7
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,98.67
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Accuracy,99.85
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.7
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,94.69
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.07
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.57
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.7
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.82
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.7
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,94.69
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.07
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.57
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.7
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.85
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.7
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,95.3
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.82
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.65
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.67
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,99.8
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.7
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,95.3
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.82
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.65
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.67
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,99.85
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.7
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,95.3
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.82
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,98.65
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,98.67
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,99.65
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.55
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,94.89
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.75
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.5
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.75
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,99.75
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.55
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,94.89
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,97.75
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.5
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,98.75
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Accuracy,99.9
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.6
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,89.24
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.8
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,97.4
RandomForest,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,97.35
Bagging,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,99.65
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,95.6
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,89.24
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,95.8
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,97.4
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,97.35
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,99.7
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,95.6
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,89.24
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,95.8
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,97.4
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,97.35
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,99.7
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.4
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,89.39
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.15
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.15
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.4
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.65
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,95.4
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,89.39
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.15
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,97.15
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,97.4
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,99.7
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,95.4
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,90.59
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,95.65
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,97.3
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,97.35
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,99.6
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,95.4
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,90.59
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,95.65
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,97.3
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,97.35
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Kappa,99.7
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,95.4
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,90.59
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,95.65
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,97.3
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,97.35
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,99.3
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.1
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,89.79
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.5
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.0
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.5
Bagging,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.5
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,95.1
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,89.79
