Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,93.73
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.2
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Accuracy,98.31
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,93.73
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.2
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-Accuracy,98.31
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,97.52
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,93.73
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,98.2
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Accuracy,98.31
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,97.64
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,93.98
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.3
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Accuracy,98.32
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,95.1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,87.47
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.25
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,96.59
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,95.1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,87.47
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,96.25
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,96.59
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,95.1
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,87.47
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,96.25
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,96.59
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.37
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,87.93
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.25
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.52
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,95.04
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,87.45
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.41
