Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,BorderlineSMOTE,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,BorderlineSMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,BorderlineSMOTE,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,BorderlineSMOTE,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,BorderlineSMOTE,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,KMeansSMOTE,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,KMeansSMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,KMeansSMOTE,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,KMeansSMOTE,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,KMeansSMOTE,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,RandomOverSampler,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,RandomOverSampler,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,RandomOverSampler,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,RandomOverSampler,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,RandomOverSampler,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SVMSMOTE,Train-F-1,97.59
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SVMSMOTE,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SVMSMOTE,Train-F-1,93.31
KNN,SimpleImputer_mean__SimpleImputer_mode,SVMSMOTE,Train-F-1,98.32
SVM,SimpleImputer_mean__SimpleImputer_mode,SVMSMOTE,Train-F-1,98.46
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,97.74
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,93.43
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.07
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-F-1,98.48
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,97.74
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,93.43
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.07
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-F-1,98.48
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,97.37
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,92.8
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,98.04
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-F-1,98.3
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,CondensedNearestNeighbour,Train-F-1,98.11
